name,UMAP Dim 1,UMAP Dim 2,cluster
Mojito,0.747719,3.7345905,0
Old Fashioned,10.3984,5.5652847,1
Long Island Tea,1.5831748,4.6418533,0
Negroni,11.24274,4.8946075,1
Whiskey Sour,4.756373,5.414124,2
Dry Martini,9.297989,5.7310433,3
Daiquiri,7.0686393,6.211794,3
Margarita,1.1273994,3.319914,0
Manhattan,9.527809,5.316025,3
Moscow Mule,1.1295549,3.4088728,0
After Dinner Cocktail,7.710413,6.417311,3
After Supper Cocktail,7.947218,6.5600486,3
Alabama Slammer,10.134401,4.7223763,1
Alaska Cocktail,8.865195,5.2492948,3
Alexander,8.20965,5.397493,3
Brandy Alexander,1.0787675,4.635895,0
Alfie Cocktail,8.152657,6.2687955,3
Algonquin,8.812284,6.142113,3
Allegheny,8.735022,4.50498,3
Allies Cocktail,9.127563,5.6092286,3
Almeria,7.546525,4.814159,3
Almond Joy,7.3736115,5.4288955,3
Amaretto And Cream,7.486101,5.4081936,3
Amaretto Mist,0.7994334,4.283942,0
Amaretto Rose,1.4231552,3.9513357,0
Amaretto Stinger,7.7088594,5.576104,3
Amaretto Tea,0.9419825,4.259341,0
Angel Face,8.473001,5.4013085,3
Applecar,8.018556,6.3534017,3
Apricot Lady,0.78020394,4.890452,0
Archbishop,11.347694,4.9495225,1
Arise My Love,1.3003286,4.5105987,0
Arthur Tompkins,10.830588,5.425682,1
Artillery,9.400392,4.8496575,3
Balmoral,8.993151,3.9666965,3
Banana Daiquiri,1.8435702,4.3720236,0
Bermuda Highball,10.875566,4.338829,1
Black Russian,0.89674556,3.5374196,0
Blackthorn,8.83021,4.4564176,3
Bloody Maria,0.4175815,4.316659,0
Bloody Mary,0.4373079,3.8778515,0
Blue Lagoon,1.5144694,4.3015566,0
Blue Margarita,7.733277,5.7194834,3
Blue Mountain,0.54929763,4.3915415,0
Bluebird,9.053322,4.9101267,3
Bobby Burns Cocktail,8.73602,4.1676326,3
Boomerang,9.348221,5.4492893,3
Boston Sidecar,7.1573496,6.35199,3
Boston Sour,4.7653246,5.177077,2
Classic Old-Fashioned,11.086717,5.944119,1
Bourbon Sling,10.669004,5.799161,1
Bourbon Sour,10.884666,5.948977,1
Boxcar,10.997768,5.314244,1
Brandy Cobbler,11.405172,5.864692,1
Brandy Flip,6.8563495,5.120018,3
Brandy Sour,4.998497,5.1304507,2
Caipirinha,0.6298253,3.6828184,0
California Lemonade,4.914076,5.0530677,2
Casa Blanca,7.3971477,6.5018973,3
Casino Royale,10.756783,5.3479466,1
Champagne Cocktail,1.144508,3.9607987,0
Cherry Rum,7.331658,5.8920407,3
Chicago Fizz,5.340409,5.3817844,2
Chocolate Black Russian,1.3746951,4.48649,0
City Slicker,7.7089643,6.327367,3
Clove Cocktail,8.526683,4.511551,3
Cuba Libre,0.8438037,3.3785198,0
Dragonfly,10.582467,4.4830036,1
Dry Rob Roy,8.617339,4.0636363,3
Dubonnet Cocktail,8.977264,4.8640103,3
English Highball,11.042535,4.2223787,1
English Rose Cocktail,8.821616,6.2085023,3
Flying Dutchman,11.179714,5.0891175,1
Flying Scotchman,8.880919,4.064676,3
Foxy Lady,7.47089,5.2199426,3
Frisco Sour,4.7849393,4.9817014,2
Frozen Daiquiri,1.7929536,4.394245,0
Frozen Mint Daiquiri,0.8812789,4.771677,0
Frozen Pineapple Daiquiri,7.4670973,6.166754,3
Gentleman's Club,11.542519,5.1322207,1
Gin And Tonic,10.665264,4.5961637,1
Gin Cooler,11.176645,4.1731825,1
Gin Daisy,11.362657,5.770879,1
Gin Fizz,5.1866016,5.540965,2
Gin Sling,11.310362,4.666084,1
Gin Smash,11.496367,5.3909454,1
Gin Sour,11.058193,5.764193,1
Gin Squirt,11.089691,4.211769,1
Gin Swizzle,10.607339,4.8303933,1
Gin Toddy,11.51883,4.668595,1
Godchild,1.1667124,4.167646,0
Godfather,0.7941306,3.9062982,0
Godmother,0.62472165,3.551883,0
Grass Skirt,11.644379,4.62458,1
Harvey Wallbanger,1.3446918,3.4608006,0
Havana Cocktail,7.7897053,6.4978733,3
Hawaiian Cocktail,8.505014,5.9218464,3
Highland Fling Cocktail,8.860772,3.9746675,3
Imperial Fizz,5.272431,5.3953285,2
Irish Spring,1.641088,3.6561053,0
Jack Rose Cocktail,7.076597,6.3306274,3
Japanese Fizz,5.084003,5.440629,2
Jewel Of The Nile,8.722948,5.2344756,3
John Collins,11.045542,6.0235047,1
Kamikaze,1.3281323,3.582481,0
Kentucky B And B,10.10039,5.312149,1
Kentucky Colonel,9.134684,4.5727496,3
Lady Love Fizz,5.538979,5.571071,2
Loch Lomond,8.835054,4.2745647,3
London Town,8.932527,5.3855734,3
Lone Tree Cocktail,8.509607,5.015945,3
Lone Tree Cooler,10.938136,4.117809,1
Lord And Lady,0.63205993,4.588295,0
Mai Tai,1.4207422,3.2420285,0
Martinez Cocktail,8.974306,5.855103,3
Martini,9.308126,5.909809,3
Midnight Cowboy,7.811071,4.7505183,3
Mississippi Planters Punch,5.220348,5.079355,2
Monkey Wrench,0.7916365,4.7810073,0
New York Sour,4.6358013,5.0666404,2
Orange Oasis,10.503627,4.387568,1
Orgasm,7.437212,5.3490977,3
Pink Gin,10.802083,4.8402324,1
Pink Lady,8.014,5.2965484,3
Poppy Cocktail,8.429479,5.552263,3
Port And Starboard,1.1849377,4.6064286,0
Port Wine Cocktail,7.0339684,5.658291,3
